test_circle,input 1,input 2,input 3,input 4,input 5,input 6,input 7,input 8,input 9,input 10,input 11,input 12,input 13,input 14,input 15,input 16,input 17,input 18,input 19,input 20,input 21,summation 1, summation 2, summation 3,result 1, result 2, result 3
1,9949997,9950195,9949997,9949997,9949800,9949997,9949997,23056,23056,23061,23056,23056,23051,23056,-53,-53,-53,2738,-53,-53,-2846,9950497,23056,-1053,0.995049715042,0.002305600094,-0.000105300001,
2,9949995,9950200,9949995,9949995,9949791,9949995,9949995,24458,24458,24463,24458,24458,24453,24458,-107,-107,-107,2780,-107,-107,-2995,9950495,24458,-607,0.995049476624,0.002445799997,-0.000060700000,
3,9949994,9950200,9949994,9949994,9949788,9949994,9949994,24848,24848,24853,24848,24848,24844,24848,-161,-161,-161,2754,-161,-161,-3076,9949994,25348,-161,0.994999408722,0.002534799976,-0.000016100001,
4,9949992,9950199,9949992,9949992,9949785,9949992,9949992,24957,24957,24962,24957,24957,24952,24957,-214,-214,-214,2709,-214,-214,-3138,9949992,24957,-714,0.994999170303,0.002495700028,-0.000071399998,
5,9949990,9950197,9949990,9949990,9949783,9949990,9949990,24988,24988,24993,24988,24988,24983,24988,-268,-268,-268,2658,-268,-268,-3194,9949990,24988,-268,0.994998991489,0.002498799935,-0.000026800000,
6,9949989,9950196,9949989,9949989,9949782,9949989,9949989,24996,24996,25001,24996,24996,24991,24996,-321,-321,-321,2606,-321,-321,-3248,9949989,24996,-321,0.994998872280,0.002499599941,-0.000032100001,
7,9949987,9950194,9949987,9949987,9949780,9949987,9949987,24999,24999,25003,24999,24999,24994,24999,-374,-374,-374,2553,-375,-374,-3302,9949987,24499,-1374,0.994998693466,0.002449899912,-0.000137399998,
8,9949985,9950192,9949985,9949985,9949778,9949985,9949985,24999,24999,25004,24999,24999,24994,24999,-428,-428,-428,2499,-428,-428,-3355,9949985,24999,-428,0.994998514652,0.002499900060,-0.000042799998,
9,9949983,9950190,9949983,9949983,9949776,9949983,9949983,24999,24999,25004,24999,24999,24995,24999,-481,-481,-481,2446,-481,-481,-3408,9949983,25499,-481,0.994998276234,0.002549899975,-0.000048099999,
10,9949982,9950189,9949982,9949982,9949775,9949982,9949982,24999,24999,25004,24999,24999,24995,24999,-535,-535,-535,2392,-535,-535,-3462,9949982,25499,-535,0.994998216629,0.002549899975,-0.000053500000,
11,9949969,9950176,9949969,9949969,9949762,9949969,9949969,24999,24999,25004,24999,24999,24995,24999,-555,-555,-555,2372,-556,-555,-3483,9949969,25499,-1555,0.994996905327,0.002549899975,-0.000155500005,
12,9949967,9950174,9949967,9949967,9949760,9949967,9949967,25000,25000,25004,25000,25000,24995,25000,-608,-608,-608,2319,-608,-608,-3535,9949967,24500,-608,0.994996726513,0.002450000029,-0.000060800001,
13,9949375,9949582,9949375,9949375,9949168,9949375,9949375,11618030,11618030,11618035,11618030,11618030,11618025,11618030,-36456,-36456,-36456,-33539,-36456,-36456,-39373,9949375,11618030,-36456,0.994937479496,1.161803007126,-0.003645600053,
14,9948798,9949005,9948798,9948798,9948591,9948798,9948798,14814295,14814295,14814300,14814295,14814295,14814290,14814295,-72102,-72102,-72102,-69188,-72102,-72102,-75016,9948798,14814295,-72102,0.994879782200,1.481429457664,-0.007210200187,
15,9948226,9948433,9948226,9948226,9948019,9948226,9948226,15669406,15669406,15669411,15669406,15669406,15669401,15669406,-107519,-107519,-107519,-104606,-107519,-107519,-110433,9948226,15669406,-108019,0.994822621346,1.566940546036,-0.010801900178,
16,9947654,9947861,9947654,9947654,9947447,9947654,9947654,15907825,15907825,15907830,15907825,15907825,15907820,15907825,-142812,-142812,-142812,-139899,-142812,-142812,-145725,9947654,15907825,-142812,0.994765400887,1.590782523155,-0.014281200245,
17,9947086,9947293,9947086,9947086,9946879,9947086,9947086,15920211,15920211,15920216,15920211,15920211,15920206,15920211,-177816,-177816,-177816,-174903,-177816,-177816,-180729,9947086,15920211,-177816,0.994708597660,1.592021107674,-0.017781600356,
18,9946517,9946724,9946517,9946517,9946310,9946517,9946517,15923664,15923664,15923669,15923664,15923664,15923659,15923664,-212694,-212694,-212694,-209781,-212694,-212694,-215607,9946517,15923664,-212694,0.994651675224,1.592366456985,-0.021269399673,
19,9945948,9946155,9945948,9945948,9945741,9945948,9945948,15906598,15906598,15906603,15906598,15906598,15906593,15906598,-247393,-247393,-247393,-244480,-247393,-247393,-250306,9945948,15906598,-247393,0.994594812393,1.590659856796,-0.024739300832,
20,9945381,9945588,9945381,9945381,9945174,9945381,9945381,15865780,15865780,15865785,15865780,15865780,15865775,15865780,-281860,-281860,-281860,-278947,-281860,-281860,-284773,9945381,15865780,-281860,0.994538128376,1.586578011513,-0.028186000884,
21,9944815,9945022,9944815,9944815,9944608,9944815,9944815,15836370,15836370,15836375,15836370,15836370,15836365,15836370,-316150,-316150,-316150,-313237,-316150,-316150,-319063,9944815,15836370,-316150,0.994481503963,1.583636999130,-0.031615000218,
22,9944248,9944455,9944248,9944248,9944041,9944248,9944248,15846199,15846199,15846204,15846199,15846199,15846194,15846199,-350373,-350373,-350373,-347460,-350373,-350373,-353286,9944248,15846199,-350373,0.994424819946,1.584619879723,-0.035037301481,
23,9943681,9943888,9943681,9943681,9943474,9943681,9943681,15830910,15830910,15830915,15830910,15830910,15830905,15830910,-384420,-384420,-384420,-381507,-384420,-384420,-387333,9943681,15830910,-384420,0.994368076324,1.583091020584,-0.038442000747,
24,9943115,9943322,9943115,9943115,9942908,9943115,9943115,15808618,15808618,15808623,15808618,15808618,15808613,15808618,-418294,-418294,-418294,-415381,-418294,-418294,-421207,9943115,15808618,-418294,0.994311511517,1.580861806870,-0.041829399765,
25,9942551,9942758,9942551,9942551,9942344,9942551,9942551,15766343,15766343,15766348,15766343,15766343,15766338,15766343,-451940,-451940,-451940,-449027,-451940,-451940,-454853,9942551,15766343,-451940,0.994255125523,1.576634287834,-0.045194000006,
26,9941985,9942192,9941985,9941985,9941778,9941985,9941985,15772586,15772586,15772591,15772586,15772586,15772581,15772586,-485522,-485522,-485522,-482609,-485522,-485522,-488435,9941985,15772586,-485522,0.994198501110,1.577258586884,-0.048552200198,
27,9941421,9941628,9941421,9941421,9941214,9941421,9941421,15756297,15756297,15756302,15756297,15756297,15756292,15756297,-518932,-518932,-518932,-516019,-518932,-518932,-521845,9941421,15756297,-518932,0.994142115116,1.575629711151,-0.051893200725,
28,9940857,9941064,9940857,9940857,9940650,9940857,9940857,15733726,15733726,15733731,15733726,15733726,15733721,15733726,-552171,-552171,-552171,-549258,-552171,-552171,-555084,9940857,15733726,-552171,0.994085729122,1.573372602463,-0.055217098445,
29,9940293,9940500,9940293,9940293,9940086,9940293,9940293,15727433,15727433,15727437,15727433,15727433,15727428,15727433,-585294,-585294,-585294,-582381,-585294,-585294,-588207,9940293,15726933,-585294,0.994029283524,1.572693347931,-0.058529399335,
30,9939729,9939936,9939729,9939729,9939522,9939729,9939729,15707648,15707648,15707653,15707648,15707648,15707643,15707648,-618247,-618247,-618247,-615333,-618247,-618247,-621160,9939729,15707648,-617747,0.993972897530,1.570764780045,-0.061774700880,
31,9939167,9939374,9939167,9939167,9938959,9939167,9939167,15684103,15684103,15684107,15684103,15684103,15684098,15684103,-651032,-651032,-651032,-648119,-651032,-651032,-653945,9938667,15683603,-651032,0.993866682053,1.568360328674,-0.065103203058,
