test_circle,C 1,C 2,C 3,sigma_points 1,sigma_points 2,sigma_points 3,sigma_points 4,sigma_points 5,sigma_points 6,sigma_points 7,sigma_points 8,sigma_points 9,sigma_points 10,sigma_points 11,sigma_points 12,sigma_points 13,sigma_points 14,sigma_points 15,sigma_points 16,sigma_points 17,sigma_points 18,sigma_points 19,sigma_points 20,sigma_points 21,D 1,D 2,observer 1,observer 2,normalized sigma_measurement 1,normalized sigma_measurement 2,normalized sigma_measurement 3,normalized sigma_measurement 4,normalized sigma_measurement 5,normalized sigma_measurement 6,normalized sigma_measurement 7,
1,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
2,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
3,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
4,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
5,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
6,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
7,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
8,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
9,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
10,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
11,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
12,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
13,0,0,-61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2499,0,0,0,0,0,0,0,0,0,
14,4163620,-30300,-61999,994936,995236,994936,994936,994635,994936,994936,0,0,51,0,0,-51,0,0,0,0,1152,0,0,-1152,-82000,-2499,1610000,1000000,4008016,4009265,4008014,4007944,4006762,4008017,4008087,
15,4163571,-30300,-61999,994989,995154,994989,994989,994824,994989,994989,743145,743145,743160,743145,743145,743130,743145,-4504,-4504,-4504,-3830,-4504,-4504,-5179,-82000,-2499,1605000,1000000,3986360,3987047,3986360,3986318,3985673,3986361,3986402,
16,4163606,-30300,-61999,994938,995030,994938,994938,994846,994938,994938,1140941,1140941,1140946,1140941,1140941,1140936,1140941,-8958,-8958,-8958,-8516,-8958,-8958,-9400,-82000,-2499,1600000,1000000,3974815,3975198,3974815,3974788,3974432,3974816,3974843,
17,4163882,-30300,-61999,994804,994857,994804,994804,994751,994804,994804,1352728,1352728,1352731,1352728,1352728,1352726,1352728,-13371,-13371,-13371,-13027,-13371,-13370,-13714,-82000,-2499,1600000,1000000,3968389,3968609,3968388,3968367,3968168,3968388,3968410,
18,4163979,-30300,-61999,994688,994722,994688,994688,994655,994688,994688,1466905,1466905,1466907,1466905,1466905,1466904,1466905,-17759,-17759,-17759,-17450,-17759,-17759,-18067,-82000,-2499,1592499,1000000,3965429,3965571,3965429,3965410,3965292,3965429,3965448,
19,4164036,-30300,-61999,994621,994646,994621,994621,994595,994621,994621,1525263,1525263,1525274,1525263,1525263,1525253,1525263,-22106,-22106,-22106,-21809,-22106,-22106,-22403,-82000,-2499,1592499,1000000,3963708,3963812,3963707,3963690,3963600,3963708,3963726,
20,4164136,-30300,-61999,994501,994523,994501,994501,994479,994501,994501,1556592,1556593,1556599,1556592,1556592,1556586,1556592,-26437,-26437,-26437,-26143,-26437,-26437,-26731,-82000,-2499,1590000,1000000,3962832,3962923,3962832,3962814,3962740,3962832,3962850,
21,4164079,-30300,-61999,994570,994590,994570,994570,994549,994570,994570,1571758,1571759,1571764,1571758,1571757,1571752,1571758,-30737,-30737,-30736,-30444,-30736,-30737,-31029,-82000,-2499,1585000,1000000,3963280,3963363,3963280,3963262,3963193,3963280,3963299,
22,4164132,-30300,-61999,994506,994527,994506,994506,994486,994506,994506,1577945,1577945,1577947,1577945,1577945,1577943,1577945,-35010,-35010,-35009,-34717,-35010,-35010,-35302,-82000,-2499,1582499,1000000,3963349,3963436,3963349,3963331,3963266,3963349,3963367,
23,4164340,-30300,-61999,994257,994278,994257,994257,994237,994257,994257,1579831,1579829,1579836,1579831,1579832,1579825,1579831,-39260,-39260,-39260,-38967,-39260,-39259,-39552,-82000,-2499,1585000,1000000,3962520,3962608,3962520,3962502,3962437,3962520,3962538,
24,4164240,-30300,-61999,994376,994396,994376,994376,994356,994376,994376,1582425,1582424,1582428,1582425,1582426,1582423,1582425,-43492,-43492,-43492,-43200,-43492,-43492,-43784,-82000,-2499,1582499,1000000,3963305,3963388,3963305,3963287,3963221,3963305,3963323,
25,4164285,-30300,-61999,994323,994344,994323,994323,994303,994323,994323,1582014,1582014,1582027,1582014,1582013,1582000,1582014,-47689,-47689,-47689,-47397,-47689,-47689,-47981,-82000,-2499,1580000,1000000,3963607,3963694,3963606,3963589,3963523,3963607,3963625,
26,4164343,-30300,-61999,994255,994275,994255,994255,994234,994255,994255,1581246,1581246,1581249,1581246,1581246,1581243,1581246,-51887,-51887,-51886,-51594,-51887,-51887,-52179,-82000,-2499,1575000,1000000,3964074,3964158,3964074,3964056,3963987,3964074,3964092,
27,4164394,-30300,-61999,994194,994214,994194,994194,994173,994194,994194,1578501,1578501,1578506,1578501,1578501,1578496,1578501,-56041,-56041,-56041,-55749,-56041,-56041,-56333,-82000,-2499,1577499,1000000,3964007,3964091,3964007,3963989,3963920,3964008,3964025,
28,4164546,-30300,-61999,994012,994032,994012,994012,993991,994012,994012,1578056,1578056,1578058,1578056,1578056,1578054,1578056,-60173,-60173,-60174,-59881,-60173,-60173,-60465,-82000,-2499,1575000,1000000,3963875,3963958,3963875,3963857,3963787,3963875,3963893,
29,4164640,-30300,-61999,993900,993921,993900,993900,993880,993900,993900,1576407,1576407,1576413,1576407,1576407,1576401,1576407,-64314,-64314,-64315,-64022,-64314,-64313,-64606,-82000,-2499,1572499,1000000,3964013,3964101,3964013,3963995,3963930,3964014,3964031,
30,4164695,-30300,-61999,993835,993855,993835,993835,993814,993835,993835,1574662,1574662,1574664,1574662,1574662,1574661,1574662,-68399,-68399,-68400,-68107,-68399,-68398,-68691,-82000,-2499,1572499,1000000,3964103,3964187,3964103,3964085,3964015,3964103,3964121,
31,4164701,-30300,-61999,993828,993849,993828,993828,993807,993828,993828,1573851,1573851,1573856,1573851,1573852,1573846,1573851,-72477,-72477,-72477,-72185,-72477,-72477,-72769,-82000,-2499,1570000,1000000,3964563,3964651,3964563,3964545,3964476,3964563,3964581,
32,4164737,-30300,-61999,993785,993805,993785,993785,993764,993785,993785,1571880,1571880,1571884,1571880,1571880,1571876,1571880,-76536,-76536,-76536,-76244,-76536,-76536,-76828,-82000,-2499,1567499,1000000,3964936,3965019,3964936,3964918,3964848,3964936,3964954,
33,4164788,-30300,-61999,993725,993745,993725,993725,993704,993725,993725,1569962,1569962,1569965,1569962,1569962,1569960,1569962,-80555,-80555,-80555,-80263,-80555,-80555,-80847,-82000,-2499,1565000,1000000,3965249,3965332,3965249,3965231,3965162,3965249,3965267,
34,4164801,-30300,-61999,993709,993730,993709,993709,993688,993709,993709,1567266,1567267,1567278,1567266,1567265,1567254,1567266,-84539,-84539,-84538,-84247,-84539,-84539,-84831,-82000,-2499,1567499,1000000,3965319,3965407,3965319,3965301,3965231,3965320,3965337,
35,4164641,-30300,-61999,993899,993919,993899,993899,993880,993899,993899,1567302,1567303,1567306,1567302,1567302,1567298,1567302,-88519,-88519,-88519,-88227,-88519,-88519,-88811,-82000,-2499,1565000,1000000,3966401,3966485,3966401,3966383,3966322,3966401,3966419,
36,4164689,-30300,-61999,993843,993863,993843,993843,993822,993843,993843,1566267,1566267,1566269,1566267,1566266,1566265,1566267,-92491,-92491,-92491,-92199,-92491,-92491,-92783,-82000,-2499,1567499,1000000,3966289,3966372,3966289,3966271,3966202,3966289,3966308,
37,4164449,-30300,-61999,994128,994147,994128,994128,994110,994128,994128,1566985,1566982,1566989,1566985,1566987,1566980,1566985,-96446,-96446,-96446,-96154,-96446,-96446,-96738,-82000,-2499,1565000,1000000,3967666,3967745,3967666,3967648,3967591,3967666,3967684,
