0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
685244,-133,-147106,448769
206368,2,-47730,447674
63344,105,-18349,447345
20444,13,-9314,447249
7538,-4,-6518,447220
3583,216,-5632,447211
2429,-520,-5424,447207
2140,-365,-5360,447207
1798,25,-5280,447207
1972,318,-5266,447206
1304,-347,-5275,447205
1697,22,-5274,447207
1745,183,-5294,447207
1760,-325,-5274,447206
2014,-228,-5296,447205
1802,291,-5236,447207
1779,64,-5267,447207
1932,527,-5280,447204
1747,181,-5260,447207
1774,0,-5270,447207
1762,132,-5277,447207
1748,15,-5272,447206
1642,-15,-5273,447206
1173,-184,-5273,447205
1581,-112,-5272,447207
1830,-68,-5280,447206
1665,144,-5265,447207
1760,-76,-5260,447207
1645,-270,-5216,447206
1679,-22,-5266,447206
1659,308,-5231,447205
1193,862,-5265,447203
1962,63,-5276,447205
1760,-505,-5254,447206
1776,323,-5251,447206
1738,258,-5290,447205
1820,-99,-5266,447207
1799,-627,-5291,447206
1780,-80,-5276,447207
1694,95,-5261,447207
2095,388,-5327,447205
1702,-54,-5254,447207
1802,252,-5222,447207
1720,275,-5321,447207
1755,-205,-5294,447207
1782,5,-5270,447207
1874,506,-5291,447207
1753,-614,-5304,447207
1792,176,-5264,447207
1779,-10,-5268,447207
1877,-521,-5263,447206
1603,-1403,-5123,447201
1669,295,-5298,447207
1660,96,-5347,447206
1338,-447,-5253,447204
1669,275,-5292,447207
1868,-85,-5254,447205
1631,-2,-5327,447206
1776,-617,-5240,447205
1838,60,-5267,447207
1830,20,-5293,447207
1767,-2,-5267,447207
1680,20,-5286,447207
1669,-50,-5307,447206
1761,-23,-5274,447207
2040,65,-5344,447206
1991,-793,-5246,447205
1625,835,-5231,447206
1761,30,-5273,447207
1761,30,-5273,447207
2345,1155,-5153,447203
2026,-231,-5180,447203
1727,74,-5350,447207
1769,100,-5301,447207
1917,-262,-5285,447206
1910,527,-5187,447206
1637,-306,-5255,447206
1796,-51,-5307,447207
1627,38,-5242,447207
1755,-158,-5305,447207
1872,-28,-5246,447207
1751,-125,-5301,447207
2008,10,-5215,447206
1723,-25,-5292,447207
1757,71,-5267,447207
1384,-602,-5299,447206
1617,-226,-5291,447207
1757,-1,-5288,447207
1733,-256,-5262,447207
