test_circle,input 1,input 1,,input 2,input 2,,input 3,input 3,,input 4,input 4,,input 5,input 5,,input 6,input 6,,input 7,input 7,,input 8,input 8,,input 9,input 9,,input 10,input 10,,input 11,input 11,,input 12,input 12,,input 13,input 13,,input 14,input 14,,input 15,input 15,,input 16,input 16,,input 17,input 17,,input 18,input 18,,input 19,input 19,,input 20,input 20,,input 21,input 21,,summation 1,summation 1,, summation 2, summation 2,, summation 3, summation 3,
,PC,BMS,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff
1,9949997,9949997,0,9950195,9950195,0,9949997,9949997,0,9949997,9949997,0,9949800,9949800,0,9949997,9949997,0,9949997,9949997,0,23056,23056,0,23056,23056,0,23061,23061,0,23056,23056,0,23056,23056,0,23051,23051,0,23056,23056,0,-53,-53,0,-53,-53,0,-53,-53,0,2738,2738,0,-53,-53,0,-53,-53,0,-2846,-2846,0,9950497,9950497,0,23056,23056,0,-1053,-1053,0
2,9949995,9949995,0,9950200,9950200,0,9949995,9949995,0,9949995,9949995,0,9949791,9949791,0,9949995,9949995,0,9949995,9949995,0,24458,24458,0,24458,24458,0,24463,24463,0,24458,24458,0,24458,24458,0,24453,24453,0,24458,24458,0,-107,-107,0,-107,-107,0,-107,-107,0,2780,2780,0,-107,-107,0,-107,-107,0,-2995,-2995,0,9950495,9950495,0,24458,24458,0,-607,-607,0
3,9949994,9949994,0,9950200,9950200,0,9949994,9949994,0,9949994,9949994,0,9949788,9949788,0,9949994,9949994,0,9949994,9949994,0,24848,24848,0,24848,24848,0,24853,24853,0,24848,24848,0,24848,24848,0,24844,24844,0,24848,24848,0,-161,-161,0,-161,-161,0,-161,-161,0,2754,2754,0,-161,-161,0,-161,-161,0,-3076,-3076,0,9949994,9949994,0,25348,25348,0,-161,-161,0
4,9949992,9949992,0,9950199,9950199,0,9949992,9949992,0,9949992,9949992,0,9949785,9949785,0,9949992,9949992,0,9949992,9949992,0,24957,24957,0,24957,24957,0,24962,24962,0,24957,24957,0,24957,24957,0,24952,24952,0,24957,24957,0,-214,-214,0,-214,-214,0,-214,-214,0,2709,2709,0,-214,-214,0,-214,-214,0,-3138,-3138,0,9949992,9949992,0,24957,24957,0,-714,-714,0
5,9949990,9949990,0,9950197,9950197,0,9949990,9949990,0,9949990,9949990,0,9949783,9949783,0,9949990,9949990,0,9949990,9949990,0,24988,24988,0,24988,24988,0,24993,24993,0,24988,24988,0,24988,24988,0,24983,24983,0,24988,24988,0,-268,-268,0,-268,-268,0,-268,-268,0,2658,2658,0,-268,-268,0,-268,-268,0,-3194,-3194,0,9949990,9949990,0,24988,24988,0,-268,-268,0
6,9949989,9949989,0,9950196,9950196,0,9949989,9949989,0,9949989,9949989,0,9949782,9949782,0,9949989,9949989,0,9949989,9949989,0,24996,24996,0,24996,24996,0,25001,25001,0,24996,24996,0,24996,24996,0,24991,24991,0,24996,24996,0,-321,-321,0,-321,-321,0,-321,-321,0,2606,2606,0,-321,-321,0,-321,-321,0,-3248,-3248,0,9949989,9949989,0,24996,24996,0,-321,-321,0
7,9949987,9949987,0,9950194,9950194,0,9949987,9949987,0,9949987,9949987,0,9949780,9949780,0,9949987,9949987,0,9949987,9949987,0,24999,24999,0,24999,24999,0,25003,25003,0,24999,24999,0,24999,24999,0,24994,24994,0,24999,24999,0,-374,-374,0,-374,-374,0,-374,-374,0,2553,2553,0,-375,-375,0,-374,-374,0,-3302,-3302,0,9949987,9949987,0,24499,24499,0,-1374,-1374,0
8,9949985,9949985,0,9950192,9950192,0,9949985,9949985,0,9949985,9949985,0,9949778,9949778,0,9949985,9949985,0,9949985,9949985,0,24999,24999,0,24999,24999,0,25004,25004,0,24999,24999,0,24999,24999,0,24994,24994,0,24999,24999,0,-428,-428,0,-428,-428,0,-428,-428,0,2499,2499,0,-428,-428,0,-428,-428,0,-3355,-3355,0,9949985,9949985,0,24999,24999,0,-428,-428,0
9,9949983,9949983,0,9950190,9950190,0,9949983,9949983,0,9949983,9949983,0,9949776,9949776,0,9949983,9949983,0,9949983,9949983,0,24999,24999,0,24999,24999,0,25004,25004,0,24999,24999,0,24999,24999,0,24995,24995,0,24999,24999,0,-481,-481,0,-481,-481,0,-481,-481,0,2446,2446,0,-481,-481,0,-481,-481,0,-3408,-3408,0,9949983,9949983,0,25499,25499,0,-481,-481,0
10,9949982,9949982,0,9950189,9950189,0,9949982,9949982,0,9949982,9949982,0,9949775,9949775,0,9949982,9949982,0,9949982,9949982,0,24999,24999,0,24999,24999,0,25004,25004,0,24999,24999,0,24999,24999,0,24995,24995,0,24999,24999,0,-535,-535,0,-535,-535,0,-535,-535,0,2392,2392,0,-535,-535,0,-535,-535,0,-3462,-3462,0,9949982,9949982,0,25499,25499,0,-535,-535,0
11,9949969,9949969,0,9950176,9950176,0,9949969,9949969,0,9949969,9949969,0,9949762,9949762,0,9949969,9949969,0,9949969,9949969,0,24999,24999,0,24999,24999,0,25004,25004,0,24999,24999,0,24999,24999,0,24995,24995,0,24999,24999,0,-555,-555,0,-555,-555,0,-555,-555,0,2372,2372,0,-556,-556,0,-555,-555,0,-3483,-3483,0,9949969,9949969,0,25499,25499,0,-1555,-1555,0
12,9949967,9949967,0,9950174,9950174,0,9949967,9949967,0,9949967,9949967,0,9949760,9949760,0,9949967,9949967,0,9949967,9949967,0,25000,25000,0,25000,25000,0,25004,25004,0,25000,25000,0,25000,25000,0,24995,24995,0,25000,25000,0,-608,-608,0,-608,-608,0,-608,-608,0,2319,2319,0,-608,-608,0,-608,-608,0,-3535,-3535,0,9949967,9949967,0,24500,24500,0,-608,-608,0
